last,st,subcommittee,location,chamber,id,account,department,recipient.x,project.x,budget_request,additional_amount,amount.x,first.x,multi,origination,member_amount,house_mem,sentate_mem,house_tot,senate_tot,first.y,middle_name,suffix.x,nickname.x,full_name.x,birthday.x,gender.x,district,senate_class.x,party.x,bioguide_id,...1,...2,state,first,full_name.y,recipient.y,project.y,project_st,amount.y,senate_class.y,party.y,member_id,pvi_2020,request_num,ID,FY,middle,member_ID,suffix.y,nickname.y,birthday.y,gender.y,cat,sub,address.lon,address.lat,formatted_address.lon,formatted_address.lat,formatted_address.type,formatted_address.loctype,formatted_address.address,formatted_address.north,formatted_address.south,formatted_address.east,formatted_address.west,manual_check
Hirono,HI,THUD,Kauai County,S,2589,Community Development Fund,Department of Housing and Urban Development,Kauai County Housing Agency,Kauai County Ele'ele Water Project,NA,NA,5000000,NA,2,S,2500000,0,2,0,5000000,Mazie,K.,NA,NA,Mazie K. Hirono,11/3/47,F,NA,1,Democrat,H001042,10208,10208,Hawaii,Mazie,NA,Kaua'i County Housing Agency,"The project provides infrastructure for housing development in Hanapepe, Ele'ele, and Port Allen in Kauai.",HI,5000000,NA,2,NA,NA,1,30298,FY2023,K,H001042,NA,NA,NA,NA,Housing,NA,-159.573791,21.96611,-159.573791,21.96611,administrative_area_level_2,approximate,kauai county,hi,usa,22.29047,"21.60038,-159.241827,-160.600875",NA
Hyde-Smith,MS,FSGG,Jackson,S,333,Office of National Drug Control Policy,Executive Office of the President,Catholic Charities Inc.,Youth Drug Prevention Program,NA,NA,500000,NA,1,S,500000,0,1,0,500000,Cindy,NA,NA,NA,Cindy Hyde-Smith,5/10/59,F,NA,2,Republican,H001079,2467,2467,Mississippi,Cindy,NA,"Catholic Charities, Inc.",Healing Hearts Family Counseling seeks to provide drug prevention for our youth located in the Delta of Mississippi.,MS,500000,NA,1,NA,NA,1,7464,FY2023,NA,H001079,NA,NA,NA,NA,Archival,NA,-90.124384,32.40362,-90.124384,32.40362,establishment,rooftop,731 s pear orchard rd #51,ridgeland,ms 39157,usa,"32.40480, 32.40210, -90.122751, -90.125449",NA
Inhofe,OK,CJS,Tulsa,S,1116,OJP-Byrne,DOJ,Oklahoma State University Center for Health Sciences,Forensic DNA Laboratory,NA,NA,500000,NA,1,S,500000,0,1,0,500000,James,M.,NA,Jim,James M. Inhofe,11/17/34,M,NA,2,Republican,I000024,1247,1247,Oklahoma,James,NA,OSU Center for Health Sciences,This project would support the acquisition of forensic DNA laboratory equipment and allow Oklahoma State University (OSU) to better support regional law enforcement agencies in processing DNA evidence.,OK,497000,NA,1,NA,NA,1,3288,FY2023,M,I000024,NA,NA,NA,NA,Law Enforcement,NA,-96.005534,36.13819,-96.005534,36.13819,establishment,rooftop,1111 w 17th st,tulsa,ok 74107,usa,"36.13925, 36.13655, -96.004205, -96.006903",NA
Klobuchar,MN,CJS,Austin,S,634,NIST-STRS,DOC,University of Minnesota The Hormel Institute,CryoEM Support Technology,NA,NA,1500000,NA,2,S,750000,0,2,0,1500000,Amy,Jean,NA,NA,Amy Klobuchar,5/25/60,F,NA,1,Democrat,K000367,1508,1508,Minnesota,Amy,NA,"University of Minnesota, The Hormel Institute","This request is for a focused ion beam (FIB) miller with Correlative fluorescence microscopy capabilities, an instrument that is essential for preparing samples for cryo-electron tomography, which allows for 3D visualization of cellular assemblies di",MN,1900000,NA,2,NA,NA,1,4608,FY2023,NA,K000367,NA,NA,NA,NA,Scientific Research,NA,-92.966037,43.68225,-92.966037,43.68226,establishment,rooftop,801 16th ave ne,austin,mn 55912,usa,"43.68398, 43.68128, -92.964666, -92.967364",NA
Leahy,VT,CJS,Montpelier,S,1130,OJP-Byrne,DOJ,Vermont Network Against Domestic and Sexual Violence,Center for Leadership and Learning,NA,NA,5000000,NA,1,S,5000000,0,1,0,5000000,Patrick,J.,NA,NA,Patrick J. Leahy,3/31/40,M,NA,3,Democrat,L000174,1320,1320,Vermont,Patrick,NA,Vermont Network Against Domestic and Sexual Violen,"To establish a training hub, providing education and leadership development across disciplines to improve responses to domestic violence, sexual assault, and stalking in Vermont and across the country.",VT,5000000,NA,2,NA,NA,1,3361,FY2023,J,L000174,NA,NA,NA,NA,Law Enforcement,NA,-72.575387,44.26006,-72.575387,44.26006,locality,approximate,montpelier,vt 05602,usa,44.31351,"44.23487, -72.524825, -72.612615",NA
Manchin,WV,MilCon VA,Charleston,S,1330,NA,Air National Guard,McLaughlin ANGB,Construct Indoor Small Arms Range: Planning and Design,NA,NA,640000,NA,1,S,640000,0,1,0,640000,Joe,NA,III,NA,"Joe Manchin, III",8/24/47,M,NA,1,Democrat,M001183,9902,9902,West Virginia,Joe,NA,McLaughlin Air National Guard Base,This project will provide funding for planning and design services of a new squadron operations facility at McLaughlin Air National Guard base in Charleston.,WV,1100000,NA,2,NA,NA,1,29207,FY2023,NA,M001183,NA,NA,NA,NA,Base Operations,NA,-81.586895,38.37261,-81.586895,38.37261,establishment,rooftop,1679 coonskin dr,charleston,wv 25311,usa,"38.37396, 38.37126, -81.585547, -81.588244",NA
Manchin,WV,MilCon VA,Charleston,S,1331,NA,Air National Guard,McLaughlin ANGB,Squadron Operations Building: Planning and Design,NA,NA,1500000,NA,1,S,1500000,0,1,0,1500000,Joe,NA,III,NA,"Joe Manchin, III",8/24/47,M,NA,1,Democrat,M001183,9902,9902,West Virginia,Joe,NA,McLaughlin Air National Guard Base,This project will provide funding for planning and design services of a new squadron operations facility at McLaughlin Air National Guard base in Charleston.,WV,1100000,NA,2,NA,NA,1,29207,FY2023,NA,M001183,NA,NA,NA,NA,Base Operations,NA,-81.586895,38.37261,-81.586895,38.37261,establishment,rooftop,1679 coonskin dr,charleston,wv 25311,usa,"38.37396, 38.37126, -81.585547, -81.588244",NA
Markey,MA,CJS,Boston,S,1012,OJP-Byrne,DOJ,Boston Medical Center Corporation,Violence Intervention Advocacy Program,NA,NA,370000,NA,3,B,123333.3333,1,2,123333.3333,246666.6667,Edward,J.,NA,Ed,Edward J. Markey,7/11/46,M,NA,2,Democrat,M000133,997,997,Massachusetts,Edward,NA,Boston Medical Center (BMC) Corporation,VIAP was founded in 2006 to respond to the needs of victims of community violence and the families of those impacted by violence and homicide to recover from physical and emotional trauma. With the knowledge that violent injury is the strongest predi,MA,370000,NA,2,NA,NA,1,3038,FY2023,J,M000133,NA,NA,NA,NA,Law Enforcement,NA,-71.072136,42.33484,-71.072136,42.33484,establishment,rooftop,725 albany st,boston,ma 02118,usa,"42.33607, 42.33338, -71.070684, -71.073382",NA
Markey,MA,CJS,Manchester-by-the-Sea,S,686,NOAA-ORF,DOC,Town of Manchester-by-the-Sea,Building Local Capacity for Managing Extreme Weather Events,NA,NA,500000,NA,2,S,250000,0,2,0,500000,Edward,J.,NA,Ed,Edward J. Markey,7/11/46,M,NA,2,Democrat,M000133,995,995,Massachusetts,Edward,NA,"Town of Manchester-by-the-Sea, MA","A partnership of Cape Ann municipalities, a local non-profit, TownGreen, and Harvard University’s Future of the American City Initiative requests funding under the Commerce Department-NOAA account for R&D of new methods and tools for local prevention",MA,500000,NA,2,NA,NA,1,3036,FY2023,J,M000133,NA,NA,NA,NA,Law Enforcement,NA,-70.767597,42.57783,-70.767597,42.57783,locality,approximate,manchester-by-the-sea,ma 01944,usa,42.59432,"42.55930, -70.714868, -70.798899",NA
Markey,MA,FSGG,Boston,S,535,Salaries and Expenses,Small Business Administration (SBA),MassChallenge Inc.,Driving Equitable Outcomes in Business Growth,NA,NA,800000,NA,3,B,266666.6667,1,2,266666.6667,533333.3333,Edward,J.,NA,Ed,Edward J. Markey,7/11/46,M,NA,2,Democrat,M000133,2560,2560,Massachusetts,Edward,NA,MassChallenge,"Female founders, founders of color, founders from outside typical venture hubs remain grossly overlooked and underfunded by the typical entrepreneurial and venture ecosystem. At the extreme, black female founders receive less than 1% of venture fundi",MA,800000,NA,2,NA,NA,1,7761,FY2023,J,M000133,NA,NA,NA,NA,Small Business,NA,-71.045029,42.3538,-71.045029,42.3538,establishment,rooftop,10 fan pier boulevard 3rd floor,boston,ma 02210,usa,"42.35520, 42.35251, -71.043792, -71.046490",NA
Markey,MA,THUD,Boston,S,2743,Community Development Fund,Department of Housing and Urban Development,Boston Housing Authority,Health and Climate Retrofits to Ausonia Apartments Affordable Housing,NA,NA,1000000,NA,2,S,500000,0,2,0,1000000,Edward,J.,NA,Ed,Edward J. Markey,7/11/46,M,NA,2,Democrat,M000133,10310,10310,Massachusetts,Edward,NA,Boston Housing Authority (BHA),"This funding will support energy efficiency, renewable energy and resilient design upgrades in the renovation of BHA's Ausonia Apartments to improve air quality, reduce energy cost burden and increase climate resilience. Ausonia includes 100 units of",MA,1000000,NA,2,NA,NA,1,30400,FY2023,J,M000133,NA,NA,NA,NA,Housing,NA,-71.05888,42.36008,-71.05888,42.36008,locality,approximate,boston,ma,usa,42.40082,"42.22788, -70.749455, -71.191113",NA
Markey,MA,THUD,Saugus,S,2742,Community Development Fund,Department of Housing and Urban Development,Town of Saugus,Acquisition of Property for the Revitalization of Cliftondale Square Business District,NA,NA,2300000,NA,2,S,1150000,0,2,0,2300000,Edward,J.,NA,Ed,Edward J. Markey,7/11/46,M,NA,2,Democrat,M000133,12472,12472,Massachusetts,Edward,NA,"Town of Saugus, MA",The Town of Saugus is interested in revitalizing a longstanding commercial district in the center of Saugus – historically known as Cliftondale. The area has been an important commercial and retail business district in Saugus for generations but in t,MA,2300000,NA,2,NA,NA,1,36748,FY2023,J,M000133,NA,NA,NA,NA,Transportation,NA,-71.011047,42.46514,-71.011047,42.46514,locality,approximate,saugus,ma 01906,usa,42.50520,"42.42968, -70.968594, -71.054196",NA
Menendez,NJ,CJS,Harrison,S,814,COPS Tech,DOJ,Town of Harrison,Harrison Public Safety Communication Project,NA,NA,563000,NA,2,S,281500,0,2,0,563000,Robert,NA,NA,Bob,Robert Menendez,1/1/54,M,NA,1,Democrat,M000639,1129,1129,New Jersey,Robert,NA,Township of Harrison,For the purchase 85 multi-band radios to replace the single band radios currently used by the Harrison Police Department.,NJ,562000,NA,2,NA,NA,1,3170,FY2023,NA,M000639,NA,NA,NA,NA,Law Enforcement,NA,-75.207737,39.72965,-75.207737,39.72965,locality,approximate,harrison township,nj,usa,39.76181,"39.68506, -75.139005, -75.276004",NA
Menendez,NJ,CJS,Jersey City,S,1137,OJP-Byrne,DOJ,City of Jersey City,HealthierJC Peaceful Families,NA,NA,500000,NA,1,S,500000,0,1,0,500000,Robert,NA,NA,Bob,Robert Menendez,1/1/54,M,NA,1,Democrat,M000639,1132,1132,New Jersey,Robert,NA,City Of Jersey City,To expand domestic violence intervention services into the greater Hudson County area.,NJ,500000,NA,2,NA,NA,1,3173,FY2023,NA,M000639,NA,NA,NA,NA,Law Enforcement,NA,-74.043143,40.71775,-74.043143,40.71775,locality,approximate,jersey city,nj,usa,40.76887,"40.66162, -74.020405, -74.117057",NA
Merkley,OR,CJS,Roseburg,S,851,COPS Tech,DOJ,Douglas County,Douglas County Communications Radio System Upgrade,NA,NA,355000,NA,2,S,177500,0,2,0,355000,Jeff,NA,NA,NA,Jeff Merkley,10/24/56,M,NA,2,Democrat,M001176,1266,1266,Oregon,Jeff,NA,Douglas County Oregon Radio Communications,Funding would be used to upgrade emergency communication systems.,OR,2000000,NA,2,NA,NA,1,3307,FY2023,NA,M001176,NA,NA,NA,NA,Law Enforcement,NA,-123.341738,43.2165,-123.341738,43.2165,locality,approximate,roseburg,or,usa,43.25153,"43.19080,-123.271139,-123.401842",NA
Merkley,OR,CJS,St. Helens,S,850,COPS Tech,DOJ,City of St. Helens,St. Helens Law Enforcement Technology,NA,NA,340000,NA,2,S,170000,0,2,0,340000,Jeff,NA,NA,NA,Jeff Merkley,10/24/56,M,NA,2,Democrat,M001176,1249,1249,Oregon,Jeff,NA,"City of St. Helens, Oregon","Funding would support purchase critical technology and equipment to meet national standards and ensure high quality service and investigations, including forensic workstations and secure storage.",OR,340000,NA,2,NA,NA,1,3290,FY2023,NA,M001176,NA,NA,NA,NA,Law Enforcement,NA,-122.82123,45.85896,-122.82123,45.85896,locality,approximate,st helens,or,usa,45.88427,"45.82997,-122.794925,-122.856683",NA
Moran,KS,CJS,Hutchinson,S,1189,SSMS,NASA,Cosmosphere Inc.,Support for STEM Education Programs and Galleries/Exhibits Revitalization,NA,NA,3000000,NA,1,S,3000000,0,1,0,3000000,Jerry,NA,NA,NA,Jerry Moran,5/29/54,M,NA,3,Republican,M000934,1455,1455,Kansas,Jerry,NA,"Cosmosphere, Inc.",To support STEM education programs and galleries/exhibits revitalization.,KS,3000000,NA,1,NA,NA,1,4555,FY2023,NA,M000934,NA,NA,NA,NA,Scientific Research,NA,-97.921266,38.06517,-97.921266,38.06517,establishment,rooftop,1100 n plum st,hutchinson,ks 67501,usa,"38.06649, 38.06379, -97.919789, -97.922487",NA
Moran,KS,CJS,Kansas City,S,869,COPS Tech,DOJ,Kansas City Police Department,Establishment of a Real Time Crime Center,NA,NA,905000,NA,1,S,905000,0,1,0,905000,Jerry,NA,NA,NA,Jerry Moran,5/29/54,M,NA,3,Republican,M000934,1454,1454,Kansas,Jerry,NA,University of Kansas Cancer Center,To plan and build a new cancer research facility at the KU Cancer Center.,KS,30000000,NA,1,NA,NA,1,4554,FY2023,NA,M000934,NA,NA,NA,NA,Scientific Research,NA,-94.626787,39.11553,-94.626787,39.11553,locality,approximate,kansas city,ks,usa,39.20291,"39.04356, -94.588387, -94.908465",NA
Moran,KS,EW,Atchison,S,6883,Construction,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,"Atchison, KS CSO Environmental Infrastructure",NA,500000,500000,NA,1,S,500000,0,1,0,500000,Jerry,NA,NA,NA,Jerry Moran,5/29/54,M,NA,3,Republican,M000934,2117,2117,Kansas,Jerry,NA,US Army Corps of Engineers,"Atchison’s Long Term Control Plan recommends sewer separation for each of the nine CSS service areas. Sewer separation will eliminate wet-weather discharge of sewage into the Missouri River, which is the drinking water source for several downstream c",KS,5000000,NA,1,NA,NA,1,6502,FY2023,NA,M000934,NA,NA,NA,NA,Water,NA,-95.121636,39.56305,-95.121636,39.56305,locality,approximate,atchison,ks,usa,39.59483,"39.52774, -95.096904, -95.252471",NA
Murkowski,AK,CJS,Utqiagvik,S,693,NOAA-ORF,DOC,North Slope Borough Department of Wildlife Management,Marine Mammal Co-management Research,NA,NA,2700000,NA,1,S,2700000,0,1,0,2700000,Lisa,A.,NA,NA,Lisa Murkowski,5/22/57,F,NA,3,Republican,M001153,1394,1394,Alaska,Lisa,NA,North Slope Borough Dept. of Wildlife Management,To provide for marine mammal co-management research on the North Slope of Alaska.,AK,2950000,NA,1,NA,NA,1,4494,FY2023,NA,M001153,NA,NA,NA,NA,Scientific Research,NA,-156.788611,71.29056,-156.788611,71.29056,locality,approximate,utqiagvik,ak 99723,usa,71.33975,"71.23033,-156.639324,-156.924449",NA
Murkowski,AK,EW,St. George,S,6988,Investigations,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,"St. George Harbor Improvement, St. George, AK",NA,2500000,2500000,NA,1,S,2500000,0,1,0,2500000,Lisa,A.,NA,NA,Lisa Murkowski,5/22/57,F,NA,3,Republican,M001153,2006,2006,Alaska,Lisa,NA,"U.S. Army Corps of Engineers, Alaska District",The request supports priority funding for the federal share of for Preliminary Engineering and Design and Construction of St. George Harbor.,AK,2500000,NA,1,NA,NA,1,6391,FY2023,NA,M001153,NA,NA,NA,NA,Water,NA,-169.548077,56.60163,-169.548077,56.60163,locality,approximate,st george,ak,usa,56.67568,"56.48323,-169.377545,-169.880238",NA
Murkowski,AK,THUD,Anchorage,S,2122,Community Development Fund,Department of Housing and Urban Development,Municipality of Anchorage-Port of Alaska,Port of Alaska Modernization,NA,NA,5000000,NA,1,S,5000000,0,1,0,5000000,Lisa,A.,NA,NA,Lisa Murkowski,5/22/57,F,NA,3,Republican,M001153,9912,9912,Alaska,Lisa,NA,Providence Alaska Foundation,To address the growing problem of homelessness in the Anchorage community through permanent supportive housing.,AK,7500000,NA,1,NA,NA,1,29572,FY2023,NA,M001153,NA,NA,NA,NA,Housing,Homelessness,-149.817772,61.1866,-149.817772,61.1866,establishment,rooftop,3760 piper st suite 2021,anchorage,ak 99508,usa,"61.18813, 61.18543,-149.816468,-149.819166",NA
Murphy,CT,CJS,Mystic,S,671,NOAA-ORF,DOC,Sea Research Foundation Inc. DBA Mystic Aquarium,Blue Economy Career Development Center,NA,NA,650000,NA,2,S,325000,0,2,0,650000,Christopher,S.,NA,NA,Christopher Murphy,8/3/73,M,NA,1,Democrat,M001169,1645,1645,Connecticut,Christopher,NA,"Sea Research Foundation, Inc. d/b/a Mystic Aquariu",Funding to establish the Blue Economy Career Development Center to create a pipeline for underserved youth in Eastern Connecticut.,CT,650000,NA,2,NA,NA,1,5168,FY2023,NA,M001169,NA,NA,NA,NA,Other - CJS,NA,-71.953158,41.37327,-71.953158,41.37327,establishment,rooftop,55 coogan blvd,mystic,ct 06355,usa,"41.37462, 41.37193, -71.951790, -71.954488",NA
Murphy,CT,FSGG,Haddam,S,373,Salaries and Expenses,Small Business Administration (SBA),Connecticut Resource Conservation & Development Area,Connecticut Farmer Resource Hub and Marketing Initiative,NA,NA,5550000,NA,2,S,2775000,0,2,0,5550000,Christopher,S.,NA,NA,Christopher Murphy,8/3/73,M,NA,1,Democrat,M001169,2681,2681,Connecticut,Christopher,NA,Connecticut Resource Conservation&Development Area,Funding would create a Connecticut Veteran Farmer Educational Resource Hub and develop a Connecticut Veteran Farmer Grown marketing campaign.,CT,550000,NA,2,NA,NA,1,8180,FY2023,NA,M001169,NA,NA,NA,NA,Small Business,Education,-73.087749,41.60322,-73.087749,41.60322,administrative_area_level_1,approximate,connecticut,usa,42.05051,40.95094,"-71.787239, -73.727775",NA
Murphy,CT,FSGG,Stamford,S,519,Salaries and Expenses,Small Business Administration (SBA),Women's Business Development Council Inc.,Expanasion of Small Business Development Programs to Women-Owned Businesses in Connecticut,NA,NA,2000000,NA,3,B,666666.6667,1,2,666666.6667,1333333.333,Christopher,S.,NA,NA,Christopher Murphy,8/3/73,M,NA,1,Democrat,M001169,2520,2520,Connecticut,Christopher,NA,"Women's Business Development Council, Inc.",Funding would support the expansion of the Women's Business Development Council programming to more women-owned businesses in Connecticut.,CT,2000000,NA,2,NA,NA,1,7721,FY2023,NA,M001169,NA,NA,NA,NA,Small Business,NA,-73.538661,41.05658,-73.538661,41.05658,establishment,rooftop,184 bedford st #201,stamford,ct 06901,usa,"41.05799, 41.05529, -73.537288, -73.539986",NA
Murray,WA,THUD,Sequim,S,3626,Community Development Fund,Department of Housing and Urban Development,North Olympic Regional Veterans Housing Network,Sequim Homeless Veterans Housing,NA,NA,900000,NA,1,S,900000,0,1,0,900000,Patty,NA,NA,NA,Patty Murray,10/11/50,F,NA,3,Democrat,M001111,10055,10055,Washington,Patty,NA,North Olympic Regional Veteran's Housing Network,Developing housing for veterans experiencing homelessness.,WA,900000,NA,2,NA,NA,1,29715,FY2023,NA,M001111,NA,NA,NA,NA,Housing,Homelessness,-123.101844,48.07954,-123.101844,48.07954,locality,approximate,sequim,wa 98382,usa,48.09992,"48.05468,-123.040196,-123.141055",NA
Ossoff,GA,CJS,Forsyth County,S,1148,OJP-Byrne,DOJ,Forsyth County Sheriff's Office,Mental Health Response Teams in Forsyth County,NA,NA,157000,NA,1,S,157000,0,1,0,157000,Jon,NA,NA,NA,Jon Ossoff,2/16/87,M,NA,2,Democrat,O000174,885,885,Georgia,Jon,NA,Forsyth County Sheriff’s Office,To increase mental-health first-responder services in Forsyth County.,GA,157000,NA,2,NA,NA,1,2926,FY2023,NA,O000174,NA,NA,NA,NA,Law Enforcement,NA,-84.139638,34.20648,-84.139638,34.20648,establishment,geometric_center,100 east courthouse square,cumming,ga 30040,usa,"34.20784, 34.20514, -84.138089, -84.140787",NA
Ossoff,GA,EW,Albany,S,6881,Construction,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,"Albany, GA",NA,4000000,4000000,NA,1,S,4000000,0,1,0,4000000,Jon,NA,NA,NA,Jon Ossoff,2/16/87,M,NA,2,Democrat,O000174,2101,2101,Georgia,Jon,NA,Army Corps of Engineers (Civil),To improve aging infrastructure and reduce overflows and spills into the Flint River that occur during heavy rainfall events.,GA,4000000,NA,2,NA,NA,1,6486,FY2023,NA,O000174,NA,NA,NA,NA,Water,NA,-84.155741,31.57851,-84.155741,31.57851,locality,approximate,albany,ga,usa,31.62349,"31.52230, -84.058641, -84.273217",NA
Ossoff,GA,FSGG,Atlanta,S,458,Salaries and Expenses,Small Business Administration (SBA),Sweet Auburn Works Inc.,SPARK Innovation Lab,NA,NA,433000,NA,1,S,433000,0,1,0,433000,Jon,NA,NA,NA,Jon Ossoff,2/16/87,M,NA,2,Democrat,O000174,2686,2686,Georgia,Jon,NA,"Sweet Auburn Works, Inc.","To boost education, curriculum, and startup programs for entrepreneurs.",GA,1100000,NA,2,NA,NA,1,8185,FY2023,NA,O000174,NA,NA,NA,NA,Small Business,Education,-84.380084,33.75571,-84.380084,33.75571,establishment,rooftop,228 auburn ave ne,atlanta,ga 30303,usa,"33.75709, 33.75439, -84.378813, -84.381511",NA
Padilla,CA,CJS,Los Angeles County,S,1149,OJP-Byrne,DOJ,Los Angeles Economic and Workforce Development Department,Returning Citizens Housing Stability Pilot Project,NA,NA,1000000,NA,1,S,1000000,0,1,0,1000000,Alejandro,NA,NA,Alex,Alex Padilla,3/22/73,M,NA,3,Democrat,P000145,793,793,California,Alex,NA,LA Economic and Workforce Development Department,Pilot program aiming to reduce recidivism by linking formerly incarcerated individuals with stable housing and supportive services.,CA,6000000,NA,2,NA,NA,1,2834,FY2023,NA,P000145,NA,NA,NA,NA,Law Enforcement,NA,-118.265691,34.05123,-118.265691,34.05123,establishment,rooftop,1200 w 7th st #100,los angeles,ca 90017,usa,"34.05272, 34.05002,-118.264482,-118.267180",NA
Padilla,CA,THUD,Fontana,S,2180,Community Development Fund,Department of Housing and Urban Development,City of Fontana,Fontana Homelessness Prevention Resource and Care Center,NA,NA,4000000,NA,2,B,2000000,1,1,2000000,2000000,Alejandro,NA,NA,Alex,Alex Padilla,3/22/73,M,NA,3,Democrat,P000145,9927,9927,California,Alex,NA,The City of Fontana,This funding will help provide individuals experiencing homelessness with shelter and supportive services.,CA,4000000,NA,2,NA,NA,1,29587,FY2023,NA,P000145,NA,NA,NA,NA,Housing,Homelessness,-117.444297,34.09574,-117.444297,34.09574,establishment,rooftop,16489 orange way,fontana,ca 92335,usa,"34.09714, 34.09445,-117.442954,-117.445652",NA
Peters,MI,EW,Lansing,S,6916,Construction,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,"Michigan Combined Sewer Overflows, Lansing, MI",NA,6000000,6000000,NA,2,S,3000000,0,2,0,6000000,Gary,C.,NA,NA,Gary C. Peters,12/1/58,M,NA,2,Democrat,P000595,1823,1823,Michigan,Gary,NA,City of Lansing,"The funding would be used to support resilience hubs, which are community-serving facilities augmented to support residents, coordinate communication, distribute resources, and reduce carbon pollution while enhancing quality of life.",MI,475000,NA,2,NA,NA,1,5591,FY2023,C,P000595,NA,NA,NA,NA,Energy,NA,-84.555535,42.73253,-84.555535,42.73253,locality,approximate,lansing,mi,usa,42.76988,"42.64748, -84.417581, -84.701274",NA
Reed,RI,CJS,Providence,S,1155,OJP-Byrne,DOJ,Housing Authority of The City of Providence,Domestic Violence Prevention and Survivor Support,NA,NA,200000,NA,2,S,100000,0,2,0,200000,John,F.,NA,Jack,Jack Reed,11/12/49,M,NA,2,Democrat,R000122,1301,1301,Rhode Island,Jack,NA,"Housing Authority of The City of Providence, RI (a",For domestic violence prevention and survivor support.,RI,200000,NA,2,NA,NA,1,3342,FY2023,NA,R000122,NA,NA,NA,NA,Law Enforcement,NA,-71.412834,41.82399,-71.412834,41.82399,locality,approximate,providence,ri,usa,41.86157,"41.77220, -71.369694, -71.472667",NA
Reed,RI,CJS,South Kingstown,S,638,NIST-STRS,DOC,University of Rhode Island,Quantum Information Science Research Initiative,NA,NA,1000000,NA,1,S,1000000,0,1,0,1000000,John,F.,NA,Jack,Jack Reed,11/12/49,M,NA,2,Democrat,R000122,1598,1598,Rhode Island,Jack,NA,"University of Rhode Island, Office of the President",For research to increase the resilience of seafood production.,RI,2500000,NA,2,NA,NA,1,4698,FY2023,NA,R000122,NA,NA,NA,NA,Scientific Research,NA,-71.526747,41.48378,-71.526747,41.48378,premise,rooftop,president’s house,56 upper college rd,kingston,ri 02881,"usa, 41.48512, 41.48243, -71.525441, -71.528139",NA
Reed,RI,CJS,South Kingstown,S,700,NOAA-ORF,DOC,University of Rhode Island,Aquaculture Resilience,NA,NA,1300000,NA,1,S,1300000,0,1,0,1300000,John,F.,NA,Jack,Jack Reed,11/12/49,M,NA,2,Democrat,R000122,1598,1598,Rhode Island,Jack,NA,"University of Rhode Island, Office of the President",For research to increase the resilience of seafood production.,RI,2500000,NA,2,NA,NA,1,4698,FY2023,NA,R000122,NA,NA,NA,NA,Scientific Research,NA,-71.526747,41.48378,-71.526747,41.48378,premise,rooftop,president’s house,56 upper college rd,kingston,ri 02881,"usa, 41.48512, 41.48243, -71.525441, -71.528139",NA
Reed,RI,EW,Bristol,S,6951,Construction/Section 205,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,"Silver Creek, Bristol, RI",NA,50000,50000,NA,1,S,50000,0,1,0,50000,John,F.,NA,Jack,Jack Reed,11/12/49,M,NA,2,Democrat,R000122,2314,2314,Rhode Island,Jack,NA,Army Corps of Engineers,For flood mitigation.,RI,1000000,NA,2,NA,NA,1,6699,FY2023,NA,R000122,NA,NA,NA,NA,Water,NA,-71.266202,41.67711,-71.266202,41.67711,locality,approximate,bristol,ri 02809,usa,41.71541,"41.63814, -71.210429, -71.328976",NA
Reed,RI,MilCon VA,North Kingstown,S,1303,NA,Air National Guard,Quonset Point ANGB,Consolidated Headquarters Medical & Dining Facility,NA,NA,46000000,NA,1,S,46000000,0,1,0,46000000,John,F.,NA,Jack,Jack Reed,11/12/49,M,NA,2,Democrat,R000122,9875,9875,Rhode Island,Jack,NA,Quonset Point Air National Guard Base,This project will demolish the existing facility and construct a new headquarters/medical/dining facility for the 14rd Airlift Wing at Quonset State Airport to support its C-130J and cyber defense missions.,RI,35000000,NA,2,NA,NA,1,29180,FY2023,NA,R000122,NA,NA,NA,NA,Base Operations,NA,-71.421289,41.59498,-71.421289,41.59498,establishment,rooftop,1 cripe st,north kingstown,ri 02852,usa,"41.59629, 41.59359, -71.419904, -71.422602",NA
Reed,RI,THUD,Woonsocket,S,3439,Community Development Fund,Department of Housing and Urban Development,Boys & Girls Clubs of Northern Rhode Island,Boys & Girls Clubs of Northern Rhode Island Woonsocket Clubhouse Renovations,NA,NA,2000000,NA,1,S,2000000,0,1,0,2000000,John,F.,NA,Jack,Jack Reed,11/12/49,M,NA,2,Democrat,R000122,13636,13636,Rhode Island,Jack,NA,Boys and Girls Club of Northern Rhode Island,For a new facility.,RI,2000000,NA,2,NA,NA,1,38671,FY2023,NA,R000122,NA,NA,NA,NA,Urban Development,NA,-71.503265,42.00934,-71.503265,42.00933,establishment,rooftop,600 social st,woonsocket,ri 02895,usa,"42.01077, 42.00808, -71.501778, -71.504476",NA
